index,title,service_area,category_1,category_2,category_3,contact_name,contact_number,contact_email,address,url,description
0,Absentee Ballots for June 23rd Primary Voting,New York State,political,voting,activism,,,,,https://nycabsentee.com/,Absentee ballot request form
1,COVID-19 Testing,New York State,covid,testing,,,,,,https://coronavirus.health.ny.gov/covid-19-testing,NY State COVID-19 testing info
2,COVID-19 Food Assistance Resources,NYC,covid,food,,,,,,https://www1.nyc.gov/assets/dsny/contact/services/COVID-19FoodAssistance.shtml,"Food assistance for NYC residents affected by COVID-19 (SNAP, food pantries, cash assistance, etc)"
3,COVID-19 Food Delivery Request,NYC,covid,food,,,,,,https://cv19engagementportal.cityofnewyork.us/#/display/5e7555117ad6750216160409,Food delivery service for NYC residents affected by COVID-19
4,"Childcare for First Responders, Healthcare Providers, or Transit Workers",NYC,childcare,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSdDNFMOezuG9mCu99utf3dkloTpdEhzBB1ancwlaeT3ny7uEQ/viewform,Provided by the department of education — childcare at a site near your home.
5,Eviction Moratorium,New York State,legal,housing,,Met Council Tenants' Rights Hotline,(212) 979-0611,,,https://www.righttocounselnyc.org/moratorium_faq,"Evictions have been paused until August 20th. These resources can help if your landlord is harassing you, or attempting to evict you"
6,Met Council Tenants Rights Hotline,NYC,legal,housing,,Met Council Tenants' Rights Hotline,(212) 979-0611,,,https://www.metcouncilonhousing.org/program/tenants-rights-hotline/,Hotline to call if your landlord is harassing you or if you have questions about your rights as a tenant.
7,Free Meals at NYC Schools,NYC,covid,food,,,311,,,https://www.schools.nyc.gov/school-life/food/free-meals,"No cost, three meals a day for any New Yorker — 7:30a to 1:30p, Monday to Friday. Locations here: http://bit.ly/nycschoolfood."
8,Meal Deliveries,NYC,covid,food,,,311,,,https://cv19engagementportal.cityofnewyork.us/?fbclid=IwAR3ZtSlNmJqJW2te2KaR4mBFE3XpK380DLGJxkRkMhbkPWxhJ1r-lEsAukE#/display/5e7555117ad6750216160409,No-cost meal deliveries for people who cannot leave their homes. Up to 8 meals each delivery. Orders will arrive within 2-3 days
9,NYC Medical Hotline,NYC,covid,medical,advice,,1-844-NYC-4NYC,,,,"Hotline if you have questions about COVID-19, or think you may have symptoms. Talk to a medical provider at no cost, from 9a to 9p."
10,NYC Employee Retention Grant Program,NYC,grants,jobs,financial-support,,,,,https://www1.nyc.gov/nycbusiness/article/nyc-employee-retention-grant-program,"Grant program for small businesses, to help them retain employees"
11,NYC COVID textline,NYC,covid,advice,,,692692,,,,Text COVID to 692692 to receive updates on city resources and closures
12,NYC schools updates,NYC,schools,covid,,,,,,https://www.schools.nyc.gov/?fbclid=IwAR0qFGYi9xX9oWy_QWWgW8wveyc20D1zuV_rBIktgi4Y4PWSq40TmijG2FQ,"For information about school re-openings, remote learning, etc"
13,NYC schools COVID updates,NYC,schools,covid,,,,,,http://www.nysed.gov/coronavirus,Dedicated page for COVID-related school news (most recent updates here: http://www.nysed.gov/news/2020)
14,NYC schools grading information,NYC,schools,covid,,,,,,https://www.schools.nyc.gov/about-us/news/announcements/contentdetails/2020/05/01/mayor-de-blasio-and-chancellor-carranza-announce-adjusted-k-12-citywide-grading-policy-for-2019-20-school-year,Information about grades for NYC students. No letter grades for elementary or middle-school students. High-school students still have grades. See the link for details. Exam requirements here: http://www.nysed.gov/news/2020/state-education-department-issues-guidance-graduation-and-course-requirement-changes-due
15,Exams/Graduation Requirements,NYC,schools,covid,,,,,,http://www.nysed.gov/news/2020/state-education-department-issues-guidance-graduation-and-course-requirement-changes-due,Detailed exam and graduation requirements for NYC high-schoolers.
16,Recovery House of Worship,Brooklyn,childcare,supplies,food,,718-501-0459,,,https://www.rhowbk.org/,"Distributes diapers and formula every Thursday, from 10a to 2p."
17,HopeLine,NYC,childcare,supplies,food,Elisa,718-402-1212,,,https://thehopeline.org/services/diapers/,"Diaper / baby supplies to all NYC residents, by appointment only. (First come, first served). Call Elisa on Mondays, starting at 9:30a."
18,Catholic Charities - Brooklyn Heights,Brooklyn,childcare,supplies,food,,(718) 522-1034,,"191 Joralemon Street, Brooklyn",https://catholiccharitiesny.org/,"Diapers, food, and baby formula (for single mothers)"
19,Catholic Charities - Bay Ridge,Brooklyn,childcare,supplies,food,,(718) 253-4477,,"6823 5th Avenue, Brooklyn",https://catholiccharitiesny.org/,"Diapers, food, and baby formula (for single mothers)"
20,Catholic Charities - Sheepshead Bay,Brooklyn,childcare,supplies,food,,(718) 769-8836,,"3730 Shore Parkway, Brooklyn",https://catholiccharitiesny.org/,"Diapers, food, and baby formula (for single mothers)"
21,Catholic Charities - Staten Island,Staten Island,childcare,supplies,food,,(718) 447-6330,,"120 Anderson Avenue, Staten Island, NY",https://catholiccharitiesny.org/,"Diapers, food, and baby formula (for single mothers)"
22,Jewish Community Center - Staten Island,Staten Island,childcare,supplies,food,,718-475-5242,,"1466 Manor Road, Staten Island, NY 10314.",https://www.sijcc.org/,"Diapers, food, baby formula, hygiene products. "
23,Little Essentials,NYC,childcare,supplies,food,,646-850-3611,,,https://www.littleessentials.org/,"Support for children. Child-care supplies, including diapers and food. Offers a one-time emergency support package."
24,IntegrateNYC,NYC,schools,covid,,,951-468-3478,,,https://www.integratenyc.org/covid19,Youth-led org fighting for equity in NYC schools. Various school / family resources in the link.
25,NYC Coalition for Educational Justice,NYC,schools,covid,,,,,,https://www.nyccej.org/,Parent-led organization for equity in NYC schools. Parent survey here: https://docs.google.com/forms/d/e/1FAIpQLScAb6IdkQcbaaP8kFWXGVBWpoPRKLMacsSgBjvAVxUCnWvSeQ/viewform
26,New York State Youth Leadership Council - List of Resources,New York State,undocumented-people,financial-support,food,,,,,https://docs.google.com/document/d/1qilwSmaqELoyPc9-a1ka82aXAq3HDlWvbYEzwsKNNL0/edit,"List of financial, food, educational, and health-related assistance — prioritizing undocumented people."
27,Enrichment Center Enrollment Form,NYC,childcare,covid,,,,,,https://www.schools.nyc.gov/enrollment/enrollment-help/regional-enrichment-centers,"Enrollment form to receive childcare, if you are a first responder, healthcare provider, or transit worker. Open M-F, 7:30a to 6p. Enrollment form here: https://www.surveygizmo.com/s3/5518161/REC-Enrollment-Form"
28,Workers Need Childcare,NYC,childcare,covid,,,,hello@workersneedchildcare.org,,https://www.workersneedchildcare.org/,"Volunteer network to provide childcare for parents who work in essential industries (grocery, utilities, mail, etc)"
29,Guide to Federal Family & Medical Leave,National,legal,childcare,,,,,,https://www.uschamber.com/co/start/strategy/families-first-coronavirus-response-act-guide,The Families First Coronavirus Response Act has expanded Family and Medical Leave. Here you can find what the means for you.
30,Hetrick-Martin Institute resource list,NYC,lgbtqi+,covid,,,,,,https://hmi.org/covid-19-resources/,"Large list of COVID-19-related resources, including food / housing / medical, internet, and more"
31,Hetrick-Martin Institute remote programming,NYC,lgbtqi+,mental-health,,,,,,https://hmi.org/services/youth-services/hmi-youth-remote/,Various group therapy sessions for LGBTQ+ youth
